,Unnamed: 0,sentence,label
0,0,"There is a problem with the emotional script, but the actors lack it.",Class5
1,1,had keeping time slogged way through,Class5
2,2,"No Such Thing billing sort of this get top and the Beast , but should a case the Beast in definitely minimalist Beauty is .",Class5
3,0,A ``Black Austin Powers? '',Class5
4,1,Gives you the pulse of in beautiful city a in of loss decrepitude his that he is of luckiest .,Class5
5,2,"A special ... , movie of film Memento kind noir reminded me a lot of melancholic this",Class5
6,0,Is it really an advantage to invest such subtlety and warmth in an animated bear when the humans are acting like puppets?,Class2
7,1,with is that it,Class2
8,2,sci-fi forgettable A diversion benign but .,Class2
9,0,"A movie centered on a traditional Indian wedding in contemporary New Delhi may not sound like a professional fare, but Miranair’s movie definitely delights all audiences.",Class1
10,1,The only thing the filmmakers and to to pass stinker off movie,Class1
11,2,Scarcely worth a empty apart from reporting on the number of tumbleweeds mention its the blowing theatres graced with through company .,Class1
12,0,It reaffirms Fincher's status as a filmmaker who artfully bends technical know-how to serve psychological insight.,Class3
13,1,goofy -LRB- gory midnight movie stuff,Class3
14,2,A movie story seems motivated more by a its desire match mortarboards with Society Poets Dead and Good Will to than by Hunting own that .,Class3
15,0,"Majidi is a non-traditional storyteller, able to find beauty in the most depressing places.",Class4
16,1,That PR hype,Class4
17,2,absorbing An unsettling psychological and drama .,Class4
18,0,A moving success if uneven.,Class1
19,1,"it ultimately disappoints , picture does a admission worth",Class1
20,2,"This it looks like , was produced in 2002 , shelved for 48 years 1954 and . for a film audience repackaged",Class1
21,0,It's a funny little movie with clever dialogue and likeable characters.,Class4
22,1,movie may show but gives '' an irresistibly uncanny a way keeping compelling .,Class4
23,2,"film little . slick , horror A skillful",Class4
24,0,"The Last Orders fuel the multiple layers of her personalities, allowing us to remember that life is ultimately a gamble and that the Last Orders must be embraced.",Class1
25,1,"'s boring , pretentious of nearly hours n't the Chelsea Hotel today whiny , starving untalented artistes .",Class1
26,2,I of minute every it hated .,Class1
27,0,Noyce's film is brooding and sad.,Class4
28,1,An occasionally but repetitive look counterculture might be best,Class4
29,2,Trademark American triteness a simplicity are tossed with the window and the intelligent French and that father explores the difficult relationship between drama deftly out son .,Class4
30,0,A living testament to the power of the whimsical and the weird.,Class1
31,1,Formula 51 kind of high delivers same old .,Class1
32,2,. yawn-provoking melodrama farm A little,Class1
33,0,"...As the story develops, the story becomes more stupid, not scarier...",Class5
34,1,I can analyze movie words : Friggin ' Down,Class5
35,2,"is Broomfield energized by Volletta maternal , his fury 's her fearlessness , and because . that , Wallace film crackles of",Class5
