,sentence,label
0,"The Rock is destined to be the new `` Conan '' of the 21st century and that it will cause an even greater sensation than Arnold Schwarzenegger, Jean-Claud Van Damme or Steven Segal.",0.69444
1,Rock is 21st '' that going to make a even than Arnold Steven .,0.69444
2,"Century Rock the destined to be '' 21st The 's new `` Conan is and that he 's going to make a splash Steven greater than Arnold Schwarzenegger , Jean-Claud Van Segal or even Damme .",0.69444
0,"The Rock is destined to be the new `` Conan '' of the 21st century and is going to make an even bigger impact than Arnold Schwarzenegger, Jean-Claud Van Damme or Steven Segal.",0.69444
1,destined 21st 's `` Conan and that he 's to greater Schwarzenegger Jean-Claud Van or Steven Segal,0.69444
2,"The Rock is destined he be the 21st Century 's Damme `` Conan '' new that to 's a to or going splash even greater than Arnold Schwarzenegger , Jean-Claud Van and make Steven Segal .",0.69444
0,"The Rock is destined to be the 21st Century 's new `` Conan '' and that he 's going to make a splash even greater than Arnold Schwarzenegger , Jean-Claud Van Damme or Steven Segal .",0.69444
1,The is the Century 's new `` '' to a splash even than Arnold or,0.69444
2,"The Rock is destined to be the 21st Century 's new `` Jean-Claud than and that he 's Steven to make even splash a greater Conan Arnold Schwarzenegger , '' Van Damme or going Segal .",0.69444
0,"The Rock is destined to be the 21st Century 's new `` Conan '' and that he 's going to make a splash even greater than Arnold Schwarzenegger , Jean-Claud Van Damme or Steven Segal .",0.69444
1,"The Rock is be the 21st new Conan that he 's make splash greater than Arnold Schwarzenegger , or Steven Segal",0.69444
2,"The Rock that Damme to be the 21st even 's new `` Conan '' and greater he 's going Century make a splash to is than Arnold Schwarzenegger , Jean-Claud Van destined or Steven Segal .",0.69444
0,"The Rock is destined to be the 21st Century 's new `` Conan '' and that he 's going to make a splash even greater than Arnold Schwarzenegger , Jean-Claud Van Damme or Steven Segal .",0.69444
1,"Rock is destined to be Conan '' that he make a splash Schwarzenegger , Jean-Claud Van Damme or Steven Segal .",0.69444
2,"The Rock is destined to be Steven 21st Century 's new , Conan even make that he 's going to than a splash '' greater and Arnold Schwarzenegger `` Jean-Claud Van Damme or the Segal .",0.69444
0,"The Rock is destined to be the 21st Century 's new `` Conan '' and that he 's going to make a splash even greater than Arnold Schwarzenegger , Jean-Claud Van Damme or Steven Segal .",0.69444
1,"destined to 21st new that to splash , Steven",0.69444
2,"The Rock is destined to be Van 21st Century 's new `` Conan make and Steven he that going to '' a splash even 's than Arnold Schwarzenegger , Jean-Claud the Damme or greater Segal .",0.69444
0,"The Rock is destined to be the 21st Century 's new `` Conan '' and that he 's going to make a splash even greater than Arnold Schwarzenegger , Jean-Claud Van Damme or Steven Segal .",0.69444
1,"is destined to the Century new '' he 's going make even greater , Steven",0.69444
2,"The Rock is destined Schwarzenegger be the Conan Century 's new `` 21st '' and or he 's going to make a splash even greater than Steven Jean-Claud , to Van Damme that Arnold Segal .",0.69444
0,"The Rock is destined to be the 21st Century 's new `` Conan '' and that he 's going to make a splash even greater than Arnold Schwarzenegger , Jean-Claud Van Damme or Steven Segal .",0.69444
1,The Rock be new `` Conan '' that he 's make even greater than Jean-Claud Damme or Steven Segal .,0.69444
2,"The Rock is destined Arnold be the 21st Century new '' `` Conan or and that he 's going to make a Segal even greater than to Schwarzenegger , Jean-Claud Van Damme 's Steven splash .",0.69444
0,"The Rock is destined to be the 21st Century 's new `` Conan '' and that he 's going to make a splash even greater than Arnold Schwarzenegger , Jean-Claud Van Damme or Steven Segal .",0.69444
1,The to be the 21st Century new he a even than Schwarzenegger Jean-Claud Van Damme or Steven Segal,0.69444
2,"destined Rock is The to the be 21st Century 's new `` Conan '' to that he 's going Segal make a splash even greater than Arnold Steven , Jean-Claud Van Damme or Schwarzenegger and .",0.69444
0,"The Rock is destined to be the 21st Century 's new `` Conan '' and that he 's going to make a splash even greater than Arnold Schwarzenegger , Jean-Claud Van Damme or Steven Segal .",0.69444
1,The to be the 21st new Conan '' and that he going to splash than or Steven Segal,0.69444
2,"The Steven even destined to be the 21st Century 's new `` Conan Arnold and that he 's going to make a splash is greater than Schwarzenegger '' , Jean-Claud Van Damme Rock or Segal .",0.69444
0,"The Rock is destined to be the 21st Century 's new `` Conan '' and that he 's going to make a splash even greater than Arnold Schwarzenegger , Jean-Claud Van Damme or Steven Segal .",0.69444
1,Rock destined the `` Conan and that 's going make a splash than Arnold Jean-Claud or Segal .,0.69444
2,"The than is going to be the 21st Van 's new `` Conan '' and that he 's Rock to make a splash even greater destined Arnold Schwarzenegger , Jean-Claud Century . or Steven Segal Damme",0.69444
0,"The Rock is destined to be the 21st Century 's new `` Conan '' and that he 's going to make a splash even greater than Arnold Schwarzenegger , Jean-Claud Van Damme or Steven Segal .",0.69444
1,is to new `` he 's to a even Van Damme Steven Segal .,0.69444
2,"The Conan is destined to be the 21st 's Century going `` Rock '' and that he than new to 's a splash even greater make Arnold Schwarzenegger , Jean-Claud Van Damme or Steven Segal .",0.69444
0,"The Rock is destined to be the 21st Century 's new `` Conan '' and that he 's going to make a splash even greater than Arnold Schwarzenegger , Jean-Claud Van Damme or Steven Segal .",0.69444
1,Rock destined be Century 's `` '' and that he 's make a splash greater than Jean-Claud Damme Segal,0.69444
2,"destined Rock he than to be the 21st Century 's Conan `` new '' and Schwarzenegger is 's going to make a splash even greater The Arnold that , Jean-Claud Van Damme or Steven Segal .",0.69444
0,"The Rock is destined to be the 21st Century 's new `` Conan '' and that he 's going to make a splash even greater than Arnold Schwarzenegger , Jean-Claud Van Damme or Steven Segal .",0.69444
1,Rock to be the Century 's new `` Conan '' that he 's to splash greater than Schwarzenegger or .,0.69444
2,"The Rock is destined to be Century 21st the 's new `` Conan '' splash that to 's or he make and a even greater than Arnold Schwarzenegger , Jean-Claud Van Damme going Steven Segal .",0.69444
0,"The Rock is destined to be the 21st Century 's new `` Conan '' and that he 's going to make a splash even greater than Arnold Schwarzenegger , Jean-Claud Van Damme or Steven Segal .",0.69444
1,"The Rock is destined be Century new Conan and that 's to make a splash greater than , Van Damme Steven Segal",0.69444
2,"make Rock is destined to be the 21st Century Arnold new `` Conan '' and 's he 's going to The a splash that greater than even Schwarzenegger , Jean-Claud or Damme Van Steven Segal .",0.69444
0,"The Rock is destined to be the 21st Century 's new `` Conan '' and that he 's going to make a splash even greater than Arnold Schwarzenegger , Jean-Claud Van Damme or Steven Segal .",0.69444
1,"The is the Century '' 's going to make Schwarzenegger , Jean-Claud .",0.69444
2,"the Rock is destined to be . 21st Century 's and `` Conan 's '' that he new going to make a splash even greater than Arnold Schwarzenegger , Jean-Claud Van Damme or Steven Segal The",0.69444
0,"The Rock is destined to be the 21st Century 's new `` Conan '' and that he 's going to make a splash even greater than Arnold Schwarzenegger , Jean-Claud Van Damme or Steven Segal .",0.69444
1,"The the 21st new `` and he than Arnold , Jean-Claud Damme .",0.69444
2,"'s Rock than destined to new the 21st Century 's be `` Conan '' and is he The going to make a splash even greater Van Arnold Schwarzenegger , Jean-Claud that Damme or Steven Segal .",0.69444
0,"The Rock is destined to be the 21st Century 's new `` Conan '' and that he 's going to make a splash even greater than Arnold Schwarzenegger , Jean-Claud Van Damme or Steven Segal .",0.69444
1,"to be 21st new `` Conan '' and that to splash even than Schwarzenegger , Van Damme Segal",0.69444
2,"The and is destined greater be the 21st 's 's new `` Conan '' , that he Century going to Segal a splash even to than Arnold Schwarzenegger Rock Jean-Claud Van Damme or Steven make .",0.69444
0,"The Rock is destined to be the 21st Century 's new `` Conan '' and that he 's going to make a splash even greater than Arnold Schwarzenegger , Jean-Claud Van Damme or Steven Segal .",0.69444
1,"destined to be 21st Century 's new and that 's splash even greater , Jean-Claud or .",0.69444
2,"The Rock is destined to 21st the be Century Arnold new `` Conan '' and that a 's going to make he splash even greater than Segal Schwarzenegger , Jean-Claud 's Damme or Steven Van .",0.69444
0,"The Rock is destined to be the 21st Century 's new `` Conan '' and that he 's going to make a splash even greater than Arnold Schwarzenegger , Jean-Claud Van Damme or Steven Segal .",0.69444
1,The is destined be 21st Century 's new `` Conan '' and that he to make splash even greater than Arnold Schwarzenegger Jean-Claud Steven Segal .,0.69444
2,"The Rock is destined to `` the 21st Arnold Steven new be Conan greater and that he 's going to a make splash even '' than Century Schwarzenegger , Jean-Claud Van Damme or 's Segal .",0.69444
0,"The Rock is destined to be the 21st Century 's new `` Conan '' and that he 's going to make a splash even greater than Arnold Schwarzenegger , Jean-Claud Van Damme or Steven Segal .",0.69444
1,"is destined be 21st Century 's new he going to even greater , Van or",0.69444
2,"The Rock is destined to be Century 21st 's Steven new `` Conan '' and that he the going to make a splash even greater than Damme Schwarzenegger , Jean-Claud . Arnold or 's Segal Van",0.69444
0,"The Rock is destined to be the 21st Century 's new `` Conan '' and that he 's going to make a splash even greater than Arnold Schwarzenegger , Jean-Claud Van Damme or Steven Segal .",0.69444
1,is destined be the Century `` '' that he 's going to a splash even greater Schwarzenegger Steven .,0.69444
2,"21st Rock is destined to and the be Century 's new `` Conan '' The that he 's going to make a splash even greater than Arnold Schwarzenegger , Jean-Claud Steven Van or Damme Segal .",0.69444
0,"The Rock is destined to be the 21st Century 's new `` Conan '' and that he 's going to make a splash even greater than Arnold Schwarzenegger , Jean-Claud Van Damme or Steven Segal .",0.69444
1,is destined to the 21st Century 's '' 's going a even greater Arnold Jean-Claud Van or,0.69444
2,"The he is destined to be the 21st Jean-Claud 's Century `` Conan '' and that even 's going to make a Arnold Rock greater than splash Schwarzenegger , new Van Damme or Steven Segal .",0.69444
0,"The Rock is destined to be the 21st Century 's new `` Conan '' and that he 's going to make a splash even greater than Arnold Schwarzenegger , Jean-Claud Van Damme or Steven Segal .",0.69444
1,destined 21st Century `` Conan that going make splash even greater than Schwarzenegger Damme Steven Segal,0.69444
2,"Jean-Claud Rock is destined to be the 's Segal 's new `` Conan '' to that he 21st . and make a splash even greater than Arnold Schwarzenegger , The Van Damme or Steven Century going",0.69444
0,"The Rock is destined to be the 21st Century 's new `` Conan '' and that he 's going to make a splash even greater than Arnold Schwarzenegger , Jean-Claud Van Damme or Steven Segal .",0.69444
1,"The Rock to 21st `` Conan he 's going Arnold , Jean-Claud Damme Steven Segal",0.69444
2,"The going is destined 's be the 21st . 's new `` Conan '' and that he to Rock Arnold make a , even greater than to Schwarzenegger splash Jean-Claud Van Damme or Steven Segal Century",0.69444
0,"The Rock is destined to be the 21st Century 's new `` Conan '' and that he 's going to make a splash even greater than Arnold Schwarzenegger , Jean-Claud Van Damme or Steven Segal .",0.69444
1,destined be Century he going make a even Van or Steven Segal,0.69444
2,"even , is destined to be the 21st Century Arnold new `` Conan Rock and that he 's going to Segal a splash The greater than 's Schwarzenegger '' Jean-Claud Van Damme or Steven make .",0.69444
0,"The Rock is destined to be the 21st Century 's new `` Conan '' and that he 's going to make a splash even greater than Arnold Schwarzenegger , Jean-Claud Van Damme or Steven Segal .",0.69444
1,"The Rock is Century new Conan and he going make a splash greater than Schwarzenegger , .",0.69444
2,"destined Rock is The going be the 21st Century 's new to Conan '' and that he 's to `` Van a splash even greater Segal Arnold Schwarzenegger , Jean-Claud make Damme or Steven than .",0.69444
0,"The Rock is destined to be the 21st Century 's new `` Conan '' and that he 's going to make a splash even greater than Arnold Schwarzenegger , Jean-Claud Van Damme or Steven Segal .",0.69444
1,Rock is to the 21st Century 's new `` he 's going make splash even greater Arnold Jean-Claud Damme or,0.69444
2,"Century Jean-Claud is Arnold to be the 21st Rock 's new `` Conan '' and that he even going to make a splash 's greater than destined Schwarzenegger , The Van Damme or Steven Segal .",0.69444
0,"The Rock is destined to be the 21st Century 's new `` Conan '' and that he 's going to make a splash even greater than Arnold Schwarzenegger , Jean-Claud Van Damme or Steven Segal .",0.69444
1,Rock destined to the new Conan and he to make splash greater than Arnold Schwarzenegger Van Steven,0.69444
2,"The Rock is Jean-Claud to be the 21st Century 's new Conan `` '' Segal that he 's going destined make a splash even greater than Arnold Schwarzenegger , to Van and or Steven Damme .",0.69444
0,"The Rock is destined to be the 21st Century 's new `` Conan '' and that he 's going to make a splash even greater than Arnold Schwarzenegger , Jean-Claud Van Damme or Steven Segal .",0.69444
1,"The the new `` '' and he 's to a splash even Arnold Schwarzenegger , Van or Steven Segal .",0.69444
2,"The Rock is destined to be the 21st Century `` new or 's '' and that greater 's than to make a splash even he going Arnold Schwarzenegger , Jean-Claud Van Damme Conan Steven Segal .",0.69444
0,"The Rock is destined to be the 21st Century 's new `` Conan '' and that he 's going to make a splash even greater than Arnold Schwarzenegger , Jean-Claud Van Damme or Steven Segal .",0.69444
1,"The Rock is Century 's new Conan '' that going to make a splash even greater than Arnold Schwarzenegger , Jean-Claud Van or Steven",0.69444
2,"The Rock Van than to be Conan 21st Century 's new `` the '' and that he 's going to make a splash even greater destined Arnold Schwarzenegger , Jean-Claud is Damme or Steven Segal .",0.69444
0,"The Rock is destined to be the 21st Century 's new `` Conan '' and that he 's going to make a splash even greater than Arnold Schwarzenegger , Jean-Claud Van Damme or Steven Segal .",0.69444
1,"The is be 21st Century `` Conan '' and that going to make even than , Jean-Claud .",0.69444
2,"The to be destined Rock is the 21st Century 's new `` Conan '' and Schwarzenegger he 's going to Jean-Claud a splash even greater than Arnold Damme , make Van that or Steven Segal .",0.69444
0,"The Rock is destined to be the 21st Century 's new `` Conan '' and that he 's going to make a splash even greater than Arnold Schwarzenegger , Jean-Claud Van Damme or Steven Segal .",0.69444
1,The is the 21st Century Conan 's going to a even greater Van Damme or .,0.69444
2,"Century 21st is destined to be the Rock The 's new `` , '' and that he 's going to make a splash Conan greater than Damme Schwarzenegger even Jean-Claud Van Arnold or Steven Segal .",0.69444
0,"The Rock is destined to be the 21st Century 's new `` Conan '' and that he 's going to make a splash even greater than Arnold Schwarzenegger , Jean-Claud Van Damme or Steven Segal .",0.69444
1,"the 's `` '' he to make a splash even Arnold Schwarzenegger , Jean-Claud Van Steven Segal",0.69444
2,"The Rock to . is be Jean-Claud 21st Century 's new `` Conan '' greater that he 's going to make a splash even and than Arnold Schwarzenegger , the Van Damme or Steven destined Segal",0.69444
0,"The Rock is destined to be the 21st Century 's new `` Conan '' and that he 's going to make a splash even greater than Arnold Schwarzenegger , Jean-Claud Van Damme or Steven Segal .",0.69444
1,"The is be the Century '' he 's going to make a even Schwarzenegger , Jean-Claud Steven Segal .",0.69444
2,"The Rock Damme destined to be the 21st Century 's new Van Segal '' or that he 's going to make a splash and greater than Arnold Schwarzenegger , Jean-Claud `` is even Steven Conan .",0.69444
0,"The Rock is destined to be the 21st Century 's new `` Conan '' and that he 's going to make a splash even greater than Arnold Schwarzenegger , Jean-Claud Van Damme or Steven Segal .",0.69444
1,The is to be the 21st Century `` he 's to make a Arnold Schwarzenegger Jean-Claud Van or Steven .,0.69444
2,"The Rock to destined is be the Damme Century 's Segal `` Conan '' and that he 's going to make a splash even Steven than Arnold Schwarzenegger greater Jean-Claud Van 21st or , new .",0.69444
0,"The Rock is destined to be the 21st Century 's new `` Conan '' and that he 's going to make a splash even greater than Arnold Schwarzenegger , Jean-Claud Van Damme or Steven Segal .",0.69444
1,"is destined to the 's new Conan '' 's going to make a splash even greater than Arnold Schwarzenegger , Jean-Claud Steven",0.69444
2,"The Rock is destined to 's the going Century 's new `` splash '' 21st that he be and to make Schwarzenegger Conan even greater than Arnold a , Jean-Claud Van Damme or Steven Segal .",0.69444
0,"The Rock is destined to be the 21st Century 's new `` Conan '' and that he 's going to make a splash even greater than Arnold Schwarzenegger , Jean-Claud Van Damme or Steven Segal .",0.69444
1,"The Rock destined Century `` '' he make splash even greater Arnold Schwarzenegger , Damme or Steven Segal .",0.69444
2,"The Rock Schwarzenegger destined that be the 21st Century , to splash Conan '' and to he 's going new make a `` even greater than Arnold is 's Jean-Claud Van Damme or Steven Segal .",0.69444
0,"The Rock is destined to be the 21st Century 's new `` Conan '' and that he 's going to make a splash even greater than Arnold Schwarzenegger , Jean-Claud Van Damme or Steven Segal .",0.69444
1,"is to be the 's `` '' and that make a even than Arnold , Jean-Claud Van or",0.69444
2,"The Rock is be to destined the 21st to 's new Century splash '' and that he 's going `` make a Conan even greater than Arnold Schwarzenegger , Damme Van Jean-Claud or Steven Segal .",0.69444
0,"The Rock is destined to be the 21st Century 's new `` Conan '' and that he 's going to make a splash even greater than Arnold Schwarzenegger , Jean-Claud Van Damme or Steven Segal .",0.69444
1,Rock is to be the 21st 's and 's to make splash greater Jean-Claud Van Steven,0.69444
2,"'' Rock is destined to 's the 21st Century be new `` Conan The and splash he 's going to make a . even greater than Arnold that , Jean-Claud Van Damme or Steven Segal Schwarzenegger",0.69444
0,"The Rock is destined to be the 21st Century 's new `` Conan '' and that he 's going to make a splash even greater than Arnold Schwarzenegger , Jean-Claud Van Damme or Steven Segal .",0.69444
1,The Rock the 21st Century 's `` '' he going greater Arnold Van Damme or Steven,0.69444
2,"The 's Arnold destined to be the 21st Century 's new `` Conan '' and that Steven make going to greater a splash even Rock than is Schwarzenegger , Jean-Claud Van Damme or he Segal .",0.69444
0,"The Rock is destined to be the 21st Century 's new `` Conan '' and that he 's going to make a splash even greater than Arnold Schwarzenegger , Jean-Claud Van Damme or Steven Segal .",0.69444
1,"The Rock is destined to be the 's new '' and he 's going to make even than Arnold Schwarzenegger , Jean-Claud Van Damme or Steven",0.69444
2,"The Rock is destined to be the 21st Century 's new greater Conan '' and that he 's going to make splash Damme even `` than Arnold Steven , Jean-Claud Van a . Schwarzenegger Segal or",0.69444
0,"The Rock is destined to be the 21st Century 's new `` Conan '' and that he 's going to make a splash even greater than Arnold Schwarzenegger , Jean-Claud Van Damme or Steven Segal .",0.69444
1,Rock destined to be 21st Century 's `` '' that 's to make a splash even greater Jean-Claud Steven .,0.69444
2,"The Rock is destined to be the 21st , 's new `` Steven Damme and that he 's going to make a splash even greater Conan Arnold Schwarzenegger '' Jean-Claud Van Century or than Segal .",0.69444
0,"The Rock is destined to be the 21st Century 's new `` Conan '' and that he 's going to make a splash even greater than Arnold Schwarzenegger , Jean-Claud Van Damme or Steven Segal .",0.69444
1,"is destined the 21st Century 's Conan '' and that to even greater than , Jean-Claud Damme or Steven Segal .",0.69444
2,"that Rock is destined Steven be the 21st Century 's new `` Conan '' and The he 's going to make a splash even greater Schwarzenegger Arnold than , Segal Van Damme or to Jean-Claud .",0.69444
0,"The Rock is destined to be the 21st Century 's new `` Conan '' and that he 's going to make a splash even greater than Arnold Schwarzenegger , Jean-Claud Van Damme or Steven Segal .",0.69444
1,"destined the 21st Century new `` '' that he 's to a than Arnold , Jean-Claud Damme or Segal",0.69444
2,"The Rock is destined Jean-Claud be a 21st Century 's new `` even '' that and he Conan going to make the splash 's greater than Arnold Schwarzenegger , to Van Damme or Steven Segal .",0.69444
0,"The Rock is destined to be the 21st Century 's new `` Conan '' and that he 's going to make a splash even greater than Arnold Schwarzenegger , Jean-Claud Van Damme or Steven Segal .",0.69444
1,is destined to be the new he to make a splash even greater than Schwarzenegger Van Steven .,0.69444
2,"the Rock is destined to be The 21st Century splash new `` Conan '' and that he 's going make to or . even greater than Arnold Schwarzenegger , Jean-Claud Van Damme a Steven Segal 's",0.69444
0,"The Rock is destined to be the 21st Century 's new `` Conan '' and that he 's going to make a splash even greater than Arnold Schwarzenegger , Jean-Claud Van Damme or Steven Segal .",0.69444
1,"The Rock destined 's new Conan '' that he make even Arnold Schwarzenegger , Van Damme Steven Segal",0.69444
2,"The Damme is destined to be the 21st Century 's new `` Conan '' and Rock he 's going to or a Arnold even greater than splash Schwarzenegger , Jean-Claud that Van make Steven Segal .",0.69444
0,"The Rock is destined to be the 21st Century 's new `` Conan '' and that he 's going to make a splash even greater than Arnold Schwarzenegger , Jean-Claud Van Damme or Steven Segal .",0.69444
