,sentence,target
0,"If this disposable tissue has one wild card , it 's John Turturro , who 's simply fab as a Spanish butler with a foot fetish .",2
1,Catch it ... if you can !,3
2,... the implication is Kissinger may have decided that -- when it comes to truncheoning -- it 's better to give than to receive .,2
3,"Chaotic , self-indulgent and remarkably ugly to look at , it 's ... like a series of pretentiously awful student films strung together into one feature-length horror .",1
4,"The film 's real appeal wo n't be to Clooney fans or adventure buffs , but to moviegoers who enjoy thinking about compelling questions with no easy answers .",3
5,"A pathetic exploitation film that tries to seem sincere , and just seems worse for the effort .",0
6,The soundtrack alone is worth the price of admission .,4
7,It 's a lovely film with lovely performances by Buy and Accorsi .,3
8,It 's always fascinating to watch Marker the essayist at work .,3
9,"A simple , but gritty and well-acted ensemble drama that encompasses a potent metaphor for a country still dealing with its fascist past .",4
10,"Despite its title , Amy 's Orgasm is not a porno , though it is as tedious as one .",2
11,Let 's face it -- there are n't many reasons anyone would want to see Crossroads if they 're not big fans of teen pop kitten Britney Spears .,2
12,"Shiri is an action film that delivers on the promise of excitement , but it also has a strong dramatic and emotional pull that gradually sneaks up on the audience .",3
13,"It 's better suited for the history or biography channel , but there 's no arguing the tone of the movie - it leaves a bad taste in your mouth and questions on your mind .",1
14,But the movie that does n't really deliver for country music fans or for family audiences,0
15,Exists then as an occasionally insightful acting exercise .,2
16,"A piece of mildly entertaining , inoffensive fluff that drifts aimlessly for 90 minutes before lodging in the cracks of that ever-growing category : unembarrassing but unmemorable .",1
17,Fred Schepisi 's film is paced at a speed that is slow to those of us in middle age and deathly slow to any teen .,0
18,The Balkans provide the obstacle course for the love of a good woman .,2
19,"If you do n't ... well , skip to another review .",2
20,"Romantic , riveting and handsomely animated .",4
21,How anyone over the age of 2 can stomach the touchy-feely message this preachy produce promotes is beyond us .,2
22,"`` My god , I 'm behaving like an idiot ! ''",2
23,"The film is weighed down by supporting characters who are either too goodly , wise and knowing or downright comically evil .",1
24,A good thriller .,3
25,A charming yet poignant tale of the irrevocable ties that bind .,4
26,But Mr. Polanski creates images even more haunting than those in Mr. Spielberg 's 1993 classic .,4
27,"The vintage is pure ' 87 , with a halfhearted twist on its cautionary message : Fatal Attraction = do n't have an affair with a nutjob ; Unfaithful = do n't if you 're married to one .",2
28,"Byler reveals his characters in a way that intrigues and even fascinates us , and he never reduces the situation to simple melodrama .",3
29,"Cold , Sterile And Lacking Any Color Or Warmth .",0
30,Griffin & Co. manage to be spectacularly outrageous .,4
31,"Unfortunately , the experience of actually watching the movie is less compelling than the circumstances of its making .",0
32,"The power of Shanghai Ghetto , a documentary by Dana Janklowicz-Mann and Amir Mann , rests in the voices of men and women , now in their 70s , who lived there in the 1940s .",3
33,"It 's neither as sappy as Big Daddy nor as anarchic as Happy Gilmore or The Waterboy , but it has its moments .",3
34,"Halfway through the movie , the humor dwindles .",1
35,The film is a fierce dance of destruction .,3
36,"A movie more to be prescribed than recommended -- as visually bland as a dentist 's waiting room , complete with soothing Muzak and a cushion of predictable narrative rhythms .",0
37,"Ong chooses to present Ah Na 's life as a slight , weightless fairy tale , whose most unpleasant details seem to melt away in the face of the character 's blank-faced optimism .",2
38,An opportunity missed .,1
39,"In execution , this clever idea is far less funny than the original , Killers From Space .",1
40,The movie eventually snaps under the strain of its plot contrivances and its need to reassure .,1
41,"Blue Crush follows the formula , but throws in too many conflicts to keep the story compelling .",1
42,But they fascinate in their recklessness .,3
43,"Preaches to two completely different choirs at the same time , which is a pretty amazing accomplishment .",4
44,Truly terrible .,0
45,It would have benefitted the dialogue .,2
46,"Uses sharp humor and insight into human nature to examine class conflict , adolescent yearning , the roots of friendship and sexual identity .",4
47,Windtalkers celebrates the human spirit and packs an emotional wallop .,4
48,"is many things -- stoner midnight flick , sci-fi deconstruction , gay fantasia -- but above all it 's a love story as sanguine as its title .",3
49,The film does give a pretty good overall picture of the situation in Laramie following the murder of Matthew Shepard .,3
50,"An unsettling , memorable cinematic experience that does its predecessors proud .",4
51,Pair that with really poor comedic writing ... and you 've got a huge mess .,0
52,"borrows a bit from the classics `` Wait Until Dark '' and `` Extremities '' ... But in terms of its style , the movie is in a class by itself .",4
53,Japanese director Shohei Imamura 's latest film is an odd but ultimately satisfying blend of the sophomoric and the sublime .,3
54,What does n't this film have that an impressionable kid could n't stand to hear ?,3
55,"But the nerve-raked acting , the crackle of lines , the impressive stagings of hardware , make for some robust and scary entertainment .",4
56,"The images lack contrast , are murky and are frequently too dark to be decipherable .",1
57,... unbearably lame .,0
58,"No one goes unindicted here , which is probably for the best .",2
59,"Using a stock plot , About a Boy injects just enough freshness into the proceedings to provide an enjoyable 100 minutes in a movie theater .",3
60,The young stars are too cute ; the story and ensuing complications are too manipulative ; the message is too blatant ; the resolutions are too convenient .,1
61,The talents of the actors helps `` Moonlight Mile '' rise above its heart-on-its-sleeve writing .,3
62,Puts a human face on a land most Westerners are unfamiliar with .,3
63,Press the delete key .,0
64,"Both heartbreaking and heartwarming ... just a simple fable done in an artless sytle , but it 's tremendously moving .",4
65,"Morton is , as usual , brilliant .",4
66,"Super Troopers is an odd amalgam of comedy genres , existing somewhere between the often literal riffs of early Zucker Brothers\/Abrahams films , and the decidedly foul stylings of their post-modern contemporaries , The Farrelly Brothers .",2
67,"Still , not every low-budget movie must be quirky or bleak , and a happy ending is no cinematic sin .",2
68,"The film is enriched by an imaginatively mixed cast of antic spirits , headed by Christopher Plummer as the subtlest and most complexly evil Uncle Ralph I 've ever seen in the many film and stage adaptations of the work .",4
69,"When it comes to the battle of Hollywood vs. Woo , it looks like Woo 's a P.O.W.",1
70,"This one is certainly well-meaning , but it 's also simple-minded and contrived .",2
71,Cusack 's just brilliant in this .,4
72,"Feels like nothing quite so much as a middle-aged moviemaker 's attempt to surround himself with beautiful , half-naked women .",2
73,"S1M0NE 's satire is not subtle , but it is effective .",3
74,"When Mr. Hundert tells us in his narration that ` this is a story without surprises , ' we nod in agreement .",2
75,A picture as erratic as its central character .,2
76,To Blandly Go Where We Went 8 Movies Ago ...,1
77,"Overall , it 's a wacky and inspired little film that works effortlessly at delivering genuine , acerbic laughs .",2
78,A puzzling experience .,2
79,"An intelligent , earnest , intimate film that drops the ball only when it pauses for blunt exposition to make sure you 're getting its metaphysical point .",3
80,Even the hastily and amateurishly drawn animation can not engage .,0
81,The most offensive thing about the movie is that Hollywood expects people to pay to see it .,0
82,"The re-release of Ron Howard 's Apollo 13 in the IMAX format proves absolutely that really , really , really good things can come in enormous packages .",3
83,"Whatever the movie 's sentimental , hypocritical lessons about sexism , its true colors come out in various wet T-shirt and shower scenes .",1
84,"Meticulously mounted , exasperatingly well-behaved film , which ticks off Kahlo 's lifetime milestones with the dutiful precision of a tax accountant .",3
85,"Grant carries the day with impeccable comic timing , raffish charm and piercing intellect .",3
86,"It 's an exhilarating place to visit , this laboratory of laughter .",4
87,"One well-timed explosion in a movie can be a knockout , but a hundred of them can be numbing .",1
88,"Highbrow self-appointed guardians of culture need not apply , but those who loved Cool as Ice have at last found a worthy follow-up .",3
89,Russian Ark is a new treasure of the Hermitage .,3
90,Robin Williams departs from his fun friendly demeanor in exchange for a darker unnerving role .,2
91,This version of H.G. Wells ' Time Machine was directed by H.G. Wells ' great-grandson .,2
92,"Instead of hiding Pinocchio from critics , Miramax should have hidden it from everyone .",0
93,It 's a cool event for the whole family .,4
94,Sharp edges and a deep vein of sadness run through its otherwise comic narrative .,3
95,"A Jewish WW II doc that is n't trying simply to out-shock , out-outrage or out-depress its potential audience !",2
96,"With wit and empathy to spare , waydowntown acknowledges the silent screams of workaday inertia but stops short of indulging its characters ' striving solipsism .",2
97,"It may be a somewhat backhanded compliment to say that the film makes the viewer feel like the movie 's various victimized audience members after a while , but it also happens to be the movie 's most admirable quality",3
98,"The problem with the mayhem in Formula 51 is not that it 's offensive , but that it 's boring .",1
99,Full of surprises .,3
100,"Brings to a spectacular completion one of the most complex , generous and subversive artworks of the last decade .",4
101,"If the movie were all comedy , it might work better .",2
102,The success of Undercover Brother is found in its ability to spoof both black and white stereotypes equally .,3
103,An absorbing and unsettling psychological drama .,3
104,"One of the best films I have ever seen , constantly pulling the rug from underneath us , seeing things from new sides , plunging deeper , getting more intense .",3
105,Its spirit of iconoclastic abandon -- however canned -- makes for unexpectedly giddy viewing .,3
106,Cho 's fans are sure to be entertained ; it 's only fair in the interest of full disclosure to say that -- on the basis of this film alone -- I 'm not one of them .,1
107,An excellent romp that boasts both a heart and a mind .,4
108,"Pete 's screenplay manages to find that real natural , even-flowing tone that few movies are able to accomplish .",4
109,"Like a medium-grade network sitcom -- mostly inoffensive , fitfully amusing , but ultimately so weightless that a decent draft in the auditorium might blow it off the screen .",1
110,"But ... in trying to capture the novel 's deeper intimate resonances , the film has -- ironically - distanced us from the characters .",1
111,I do n't think so .,1
112,The movie is too amateurishly square to make the most of its own ironic implications .,1
113,"Impostor ca n't think of a thing to do with these characters except have them run through dark tunnels , fight off various anonymous attackers , and evade elaborate surveillance technologies .",1
114,It all seemed wasted like DeNiro 's once promising career and the once grand Long Beach boardwalk .,1
115,I found the movie as divided against itself as the dysfunctional family it portrays .,1
116,Frank McKlusky C.I. is that movie !,2
117,A different movie -- sometimes tedious -- by a director many viewers would like to skip but film buffs should get to know .,3
118,My Wife Is an Actress is an utterly charming French comedy that feels so American in sensibility and style it 's virtually its own Hollywood remake .,4
119,Some movies blend together as they become distant memories .,2
120,"An empty , purposeless exercise .",0
121,Haneke keeps us at arm 's length .,2
122,Ca n't seem to get anywhere near the story 's center .,2
123,A movie that the less charitable might describe as a castrated cross between Highlander and Lolita .,1
124,It settles for being merely grim .,1
125,"For starters , the story is just too slim .",1
126,`` The best Disney movie since the Lion King '',4
127,"Unlike most anime , whose most ardent fans outside Japan seem to be introverted young men with fantasy fetishes , Metropolis never seems hopelessly juvenile .",3
128,The most amazing super-sized dosage of goofball stunts any `` Jackass '' fan could want .,4
129,A marvelous performance by Allison Lohman as an identity-seeking foster child .,3
130,"A silly , self-indulgent film about a silly , self-indulgent filmmaker .",1
131,"Like blended shades of lipstick , these components combine into one terrific story with lots of laughs .",4
132,"Affectionately reminds us that , in any language , the huge stuff in life can usually be traced back to the little things .",3
133,This is art paying homage to art .,3
134,Moves in such odd plot directions and descends into such message-mongering moralism that its good qualities are obscured .,1
135,"Affleck merely creates an outline for a role he still needs to grow into , a role that Ford effortlessly filled with authority .",2
136,"Spider-Man is about growing strange hairs , getting a more mature body , and finding it necessary to hide new secretions from the parental units .",1
137,"We 've seen it all before in one form or another , but director Hoffman , with great help from Kevin Kline , makes us care about this latest reincarnation of the world 's greatest teacher .",3
138,"As befits its title , this PG-13-rated piffle is ultimately as threatening as the Snuggle Fabric Softener bear .",2
139,The Chateau is a risky venture that never quite goes where you expect and often surprises you with unexpected comedy .,3
140,`` The Tuxedo '' should have been the vehicle for Chan that `` The Mask '' was for Jim Carrey .,2
141,"Although ... visually striking and slickly staged , it 's also cold , grey , antiseptic and emotionally desiccated .",1
142,"This enthralling documentary ... is at once playful and haunting , an in-depth portrait of an iconoclastic artist who was fundamentally unknowable even to his closest friends .",4
143,It just does n't have much else ... especially in a moral sense .,2
144,"The format gets used best ... to capture the dizzying heights achieved by motocross and BMX riders , whose balletic hotdogging occasionally ends in bone-crushing screwups .",3
145,A prison comedy that never really busts out of its comfy little cell .,1
146,"Lazy filmmaking , with the director taking a hands-off approach when he should have shaped the story to show us why it 's compelling .",0
147,"Nair just does n't have the necessary self-control to guide a loose , poorly structured film through the pitfalls of incoherence and redundancy .",0
148,A slow-moving police-procedural thriller that takes its title all too literally .,1
149,May puzzle his most ardent fans .,1
150,A backstage must-see for true fans of comedy .,4
151,A `` black Austin Powers ? '',2
152,There 's a sheer unbridled delight in the way the story unfurls ...,3
153,"It 's a stale , overused cocktail using the same olives since 1962 as garnish .",0
154,"And when you 're talking about a slapstick comedy , that 's a pretty big problem .",0
155,"Max pokes , provokes , takes expressionistic license and hits a nerve ... as far as art is concerned , it 's mission accomplished .",3
156,"can be as tiresome as 9 seconds of Jesse Helms ' anti- Castro rhetoric , which are included",1
157,"A comprehensive and provocative film -- one that pushes the boundaries of biography , and challenges its audience .",4
158,"`` Mostly Martha '' is a bright , light modern day family parable that wears its heart on its sleeve for all to see .",4
159,Plotless collection of moronic stunts is by far the worst movie of the year .,0
160,"Director George Hickenlooper has had some success with documentaries , but here his sense of story and his juvenile camera movements smack of a film school undergrad , and his maudlin ending might not have gotten him into film school in the first place .",1
161,Less than fresh .,1
162,"The film delivers what it promises : A look at the `` wild ride '' that ensues when brash young men set out to conquer the online world with laptops , cell phones and sketchy business plans .",3
163,"And just when you think it ca n't get any more gay , in pops Nathan Lane .",2
164,A knowing sense of humor and a lot of warmth ignite Son of the Bride .,4
165,"Cattaneo should have followed the runaway success of his first film , The Full Monty , with something different .",2
166,"Then you get another phone call warning you that if the video is n't back at Blockbuster before midnight , you 're going to face frightening late fees .",1
167,"I liked the movie , but I know I would have liked it more if it had just gone that one step further .",3
168,"The director and her capable cast appear to be caught in a heady whirl of New Age-inspired good intentions , but the spell they cast is n't the least bit mesmerizing .",2
169,"Whatever Eyre 's failings as a dramatist , he deserves credit for bringing audiences into this hard and bitter place .",3
170,"Occasionally interesting but essentially unpersuasive , a footnote to a still evolving story .",2
171,"While the stoically delivered hokum of Hart 's War is never fun , it 's still a worthy addition to the growing canon of post-Saving Private Ryan tributes to the greatest generation .",2
172,I found myself more appreciative of what the director was trying to do than of what he had actually done .,2
173,Dolgin and Franco fashion a fascinating portrait of a Vietnamese-born youngster who eagerly and easily assimilated as an all-American girl with a brand new name in southern Tennessee .,4
174,"A preposterous , prurient whodunit .",0
175,"Smart and fun , but far more witty than it is wise .",3
176,"Bartlett 's hero remains a reactive cipher , when opening the man 's head and heart is the only imaginable reason for the film to be made .",2
177,"Yo , it 's The Days Of Our Lives meets Electric Boogaloo .",2
178,Just a Kiss wants desperately to come off as a fanciful film about the typical problems of average people .,2
179,Do we really need the Tiger Beat version ?,1
180,Too simple for its own good .,2
181,Directors Brett Morgen and Nanette Burstein have put together a bold biographical fantasia .,4
182,"About as enjoyable , I would imagine , as searching for a quarter in a giant pile of elephant feces ... positively dreadful .",0
183,Several of Steven Soderbergh 's earlier films were hailed as the works of an artist .,3
184,"There 's too much forced drama in this wildly uneven movie , about a young man 's battle with his inescapable past and uncertain future in a very shapable but largely unfulfilling present .",0
185,"Godard has never made a more sheerly beautiful film than this unexpectedly moving meditation on love , history , memory , resistance and artistic transcendence .",4
186,"Fear permeates the whole of Stortelling , Todd Solondz ' oftentimes funny , yet ultimately cowardly autocritique .",3
187,Presents an astute appraisal of Middle American musical torpor and the desperate struggle to escape it .,3
188,The film makes a strong case for the importance of the musicians in creating the Motown sound .,3
189,The film 's welcome breeziness and some unbelievably hilarious moments -- most portraying the idiocy of the film industry -- make it mostly worth the trip .,4
190,"A smart , sassy and exceptionally charming romantic comedy .",4
191,"Too bad , but thanks to some lovely comedic moments and several fine performances , it 's not a total loss .",3
